date,anger_score,disgust_score,fear_score,joy_score,sadness_score,anger_count,disgust_count,fear_count,joy_count,sadness_count,count,close,open,high,low,change
20110411,23.678598,1.862068,3.365532,129.260966,22.046661,28,2,4,150,26,1000,12381.11,12380.43,12476.93,12319.35,0.0001
20110412,23.436641,1.568504,1.80704,110.107599,28.552481,28,2,2,128,33,1000,12263.58,12381.04,12381.04,12185.09,-0.95
20110413,17.595715,3.441165,3.351268,103.535217,17.206766,21,4,4,121,21,1000,12270.99,12263.73,12372.94,12203.63,0.0006
20110414,16.065135,4.921378,5.183304,102.417106,15.457086,19,6,6,121,18,1000,12285.15,12270.24,12332.71,12137.98,0.0012
20110415,16.86991,1.555661,3.334624,121.630811,14.709462,20,2,4,141,18,1000,12341.83,12285.45,12402.61,12238.34,0.0046
20110418,15.250017,5.303843,4.020199,110.789575,24.152601,18,6,5,128,29,1000,12201.59,12339.71,12339.79,12093.89,-1.14
20110419,18.58136,0.931034,8.44312,119.981484,16.891824,22,1,10,139,20,1000,12266.75,12201.44,12320.53,12163.29,0.0053
20110420,18.766088,1.661918,2.62951,129.577488,18.624605,22,2,3,149,22,1000,12453.54,12279.17,12530.96,12279.17,0.0152
20110421,25.237808,1.659988,1.627278,128.151413,19.621094,30,2,2,149,23,1000,12505.99,12453.62,12563.89,12377.82,0.0042
20110425,19.239691,3.302728,5.389045,119.237033,21.10233,23,4,6,137,25,1000,12479.88,12505.99,12547.5,12401.02,-0.21
20110426,18.185665,3.557669,5.072008,100.751129,21.307341,22,4,6,117,25,1000,12595.37,12480.86,12652.17,12448.32,0.0093
20110427,24.143848,2.46459,3.899618,104.404073,22.403443,29,3,5,122,27,1000,12690.96,12592.23,12729.41,12518.55,0.0076
20110428,17.081067,5.304982,4.105967,102.843934,21.266104,20,6,5,121,25,1000,12763.31,12689.75,12807.36,12617.43,0.0057
20110429,20.729082,1.684967,1.818939,129.733906,14.705723,25,2,2,151,18,1000,12810.54,12763.39,12885.92,12711.85,0.0037
20110502,22.469259,4.985149,6.114219,91.942465,20.277801,26,6,7,106,24,1000,12807.36,12810.16,12928.45,12754.53,-0.02
20110503,26.49761,6.226991,8.373544,106.33538,27.675849,31,7,9,123,32,1000,12807.51,12806.38,12891.44,12700.72,0
20110504,14.125742,5.1772,4.645719,112.727406,23.211725,17,6,5,132,28,1000,12723.58,12806.29,12852.81,12632.46,-0.66
20110505,16.187311,6.028301,2.850211,107.794084,21.578178,19,7,3,124,25,1000,12584.17,12723.65,12757.26,12504.85,-1.1
20110506,21.256949,1.862068,2.577098,141.324868,13.340283,25,2,3,163,16,1000,12638.74,12580.76,12788.78,12580.76,0.0043
20110509,14.349144,1.758689,1.729199,125.210762,17.431156,17,2,2,146,20,1000,12684.68,12637.83,12751.35,12591.59,0.0036
20110510,21.291996,6.024834,6.388533,108.709156,28.781054,25,7,7,126,34,1000,12760.36,12685.13,12806.6,12665.45,0.006
20110511,19.242157,3.58319,5.430281,120.278154,21.142685,23,4,6,141,25,1000,12630.03,12745.87,12748.21,12577.21,-1.02
20110512,18.66091,6.079101,4.50879,115.488208,15.224367,22,7,5,135,18,1000,12695.92,12629.81,12746.09,12497.97,0.0052
20110513,17.414649,4.299183,5.446472,133.149638,13.778085,20,5,6,156,16,1000,12595.75,12695.65,12749.08,12522.79,-0.79
20110516,23.906944,6.00459,4.433978,118.83926,20.7399,28,7,5,139,24,1000,12548.37,12594.84,12676.66,12482.07,-0.38
20110517,23.881368,3.319512,1.808332,100.22216,22.454802,29,4,2,116,26,1000,12479.58,12541.18,12591.51,12342.29,-0.55
20110518,16.973762,3.426249,8.229282,124.314528,22.470651,20,4,9,145,26,1000,12560.18,12471.78,12595.6,12402.15,0.0065
20110519,19.071439,2.671198,2.596885,108.829483,15.927164,23,3,3,126,19,1000,12605.32,12561.46,12673.78,12506.67,0.0036
20110520,25.354867,5.986181,6.111289,93.976846,13.364432,30,7,7,109,16,1000,12512.04,12604.64,12630.11,12453.96,-0.74
20110523,20.775984,2.561359,2.451125,123.915782,22.49827,25,3,3,144,27,1000,12381.26,12511.29,12511.29,12292.49,-1.05
20110524,25.722671,5.198548,5.896145,110.540746,18.535293,31,6,7,127,22,1000,12356.21,12381.87,12465.8,12315.42,-0.2
20110525,26.111357,3.519007,4.644853,107.731946,20.382722,31,4,5,125,24,1000,12394.66,12355.45,12462.28,12271.9,0.0031
20110526,20.030622,2.422561,3.440057,114.193288,25.750219,24,3,4,133,31,1000,12402.76,12391.56,12456.08,12285.75,0.0007
20110527,13.702231,4.220562,3.329269,123.671668,13.446099,16,5,4,145,16,1000,12441.58,12398.06,12519.35,12382.93,0.0031
20110531,27.929281,6.912492,5.181399,128.786816,15.457963,33,8,6,149,18,1000,12569.79,12443.4,12611.68,12443.4,0.0103
20110601,22.273439,6.129852,4.470059,110.263322,23.347032,27,7,5,129,28,1000,12290.14,12569.34,12569.34,12273.41,-2.22
20110602,25.871758,2.793102,6.218624,102.618034,17.180597,31,3,7,119,20,1000,12248.55,12289.61,12359.31,12171.39,-0.34
20110603,22.608603,6.980562,6.081056,120.150254,24.966296,27,8,7,139,29,1000,12151.26,12247.87,12247.87,12061.96,-0.79
20110606,25.670067,5.321236,4.327808,113.017706,19.263169,31,6,5,132,23,1000,12089.96,12151.19,12201.44,12045.76,-0.5
20110607,18.000317,4.283969,5.128298,111.356011,25.485298,22,5,6,130,31,1000,12070.81,12090.18,12214.46,12055.64,-0.16
20110608,25.585438,1.758045,3.470721,134.833268,22.727557,30,2,4,156,27,1000,12048.94,12066.5,12145.21,11981.28,-0.18
20110609,26.02733,0.931034,1.862068,112.945268,19.833423,31,1,2,132,24,1000,12124.36,12049.47,12205.49,12038.49,0.0063
20110610,25.415285,3.532953,7.150523,119.057038,18.371246,30,4,8,138,22,1000,11951.91,12124.17,12124.17,11912.03,-1.42
20110613,20.091168,4.32584,3.606314,117.904162,23.994219,24,5,4,136,29,1000,11952.97,11945.33,12066.46,11883.15,0.0001
20110614,25.249166,7.733606,4.449369,95.954052,28.669418,30,9,5,111,34,1000,12076.11,11951.38,12156.52,11951.38,0.0103
20110615,26.07953,5.099064,1.710569,105.148208,18.108368,31,6,2,122,22,1000,11897.27,12075.2,12075.2,11841.87,-1.48
20110616,18.627257,2.533743,6.760464,117.673603,13.355404,22,3,8,136,16,1000,11961.52,11896.13,12023.39,11821.96,0.0054
20110617,23.942046,6.212644,3.585342,110.544275,26.067903,29,7,4,128,31,1000,12004.36,11962.58,12109.11,11952.55,0.0036
20110620,21.085486,5.270995,4.449663,126.702627,14.360035,25,6,5,149,17,1000,12080.38,12004.28,12129.54,11942.07,0.0063
20110621,27.235241,5.46004,4.708993,104.494555,20.555161,32,6,5,121,24,1000,12190.01,12081.33,12248.97,12059.46,0.0091
20110622,28.937545,5.791463,9.645789,106.058671,19.571069,34,7,11,122,23,1000,12109.67,12189.63,12242.31,12082.43,-0.66
20110623,27.682493,6.805895,1.862068,122.041827,19.563756,33,8,2,143,23,1000,12050,12108.5,12108.5,11841.19,-0.49
20110624,13.955812,1.719845,2.604502,119.89846,13.105447,17,2,3,139,16,1000,11934.58,12049.24,12082.65,11892.95,-0.96
20110627,28.462728,2.771255,4.343152,108.306102,20.688675,34,3,5,126,24,1000,12043.56,11934.73,12113.5,11907.71,0.0091
20110628,25.084849,5.398433,4.522021,118.076436,22.985834,29,6,5,136,28,1000,12188.69,12042.28,12225.89,12042.28,0.0121
20110629,21.625929,3.264394,0.849307,129.424184,25.151089,26,4,1,151,30,1000,12261.42,12187.63,12311.03,12148.88,0.006
20110630,34.653045,6.795686,5.452252,123.875752,24.312886,41,8,6,144,29,1000,12414.34,12262.1,12464.63,12262.1,0.0125
20110701,20.353413,6.405533,3.413686,109.995011,19.578228,24,7,4,126,23,1000,12582.77,12412.07,12614.56,12375.55,0.0136
20110705,26.871141,5.389153,2.702132,106.854657,20.287673,32,6,3,123,24,1000,12569.87,12583,12642.9,12504.1,-0.1
20110706,21.11955,5.19146,3.541529,124.47221,26.723308,25,6,4,144,31,1000,12626.02,12562.47,12668.03,12507.84,0.0045
20110707,13.671432,4.335053,6.16997,107.012276,10.158683,16,5,7,125,12,1000,12719.49,12628.37,12753.89,12628.37,0.0074
20110708,18.037673,3.290024,5.907696,106.782824,16.928341,22,4,7,124,20,1000,12657.2,12717.9,12717.9,12541.33,-0.49
20110711,22.586643,5.753814,4.608826,117.632646,22.758258,27,7,5,138,26,1000,12505.76,12655.77,12655.77,12443.4,-1.2
20110712,29.420407,3.724136,5.135904,117.815245,18.741187,35,4,6,136,22,1000,12446.88,12505.46,12603.77,12423.27,-0.47
20110713,21.641892,4.202445,5.390374,113.98498,26.710832,26,5,6,132,32,1000,12491.61,12447.33,12635.52,12447.33,0.0036
20110714,26.333945,3.57311,3.724136,102.104303,21.959048,31,4,4,118,26,1000,12437.12,12492.67,12602.3,12398.94,-0.44
20110715,20.092233,4.494058,4.445125,112.682098,22.218245,24,5,5,131,26,1000,12479.73,12437.8,12539.21,12374.75,0.0034
20110718,24.204343,3.473699,3.523031,116.632994,17.084678,29,4,4,136,20,1000,12385.16,12475.11,12475.11,12276.59,-0.76
20110719,22.613184,6.91556,5.229865,98.99637,27.646187,27,8,6,116,33,1000,12587.42,12385.96,12636.62,12385.96,0.0163
20110720,26.117747,6.937457,1.857469,119.46812,23.962406,31,8,2,137,28,1000,12571.91,12583.75,12654.37,12499.4,-0.12
20110721,29.941587,4.166851,3.368048,104.027184,15.852129,36,5,4,121,19,1000,12724.41,12567.14,12794,12567.14,0.0121
20110722,26.782065,1.788177,5.053696,122.818406,23.005976,32,2,6,143,27,1000,12681.16,12724.71,12768.31,12605.59,-0.34
20110725,26.863694,4.465012,1.844077,107.084936,16.836367,32,5,2,124,20,1000,12592.8,12679.72,12682.97,12509.58,-0.7
20110726,20.526414,9.757021,5.374162,108.938361,22.986526,24,11,6,126,27,1000,12501.3,12592.12,12618.11,12457.25,-0.73
20110727,26.305294,4.451582,3.696103,109.447229,17.86896,32,5,4,128,21,1000,12302.55,12498.65,12499.48,12275.38,-1.59
20110728,24.934015,6.276251,2.603492,111.831853,25.409793,29,7,3,128,30,1000,12240.11,12301.95,12412.48,12200.99,-0.51
20110729,22.254082,0,0.980984,106.089385,14.143395,26,0,1,125,17,1000,12143.24,12239.28,12262.74,12044.21,-0.79
20110801,32.231145,4.899257,6.420903,122.450855,19.365722,38,6,7,143,23,1000,12132.49,12144.3,12320.94,11978.55,-0.09
20110802,18.803452,2.664369,4.520088,106.681861,18.875338,22,3,5,124,22,1000,11866.62,12130.22,12152.96,11857.91,-2.19
20110803,18.987742,4.074711,1.654474,112.40736,14.766568,23,5,2,129,18,1000,11896.44,11863.89,11957.63,11678.69,0.0025
20110804,17.128842,3.491323,3.629961,105.38268,22.861003,20,4,4,124,27,1000,11383.68,11893.79,11893.79,11365.74,-4.31
20110805,20.866611,6.196996,5.163529,114.272847,9.947525,25,7,6,132,12,1000,11444.61,11384.29,11634.04,11126.32,0.0054
20110808,18.111934,3.599466,8.117619,123.403513,23.83849,21,4,9,141,28,1000,10809.85,11433.93,11433.93,10779.05,-5.55
20110809,32.313785,6.327568,4.498093,126.293467,16.893372,39,7,5,147,20,1000,11239.77,10810.91,11251.08,10588.55,0.0398
20110810,19.500418,1.728761,6.253676,107.57308,24.587079,23,2,7,125,28,1000,10719.94,11227.92,11227.92,10662.04,-4.62
20110811,14.835679,4.306843,4.300698,119.176325,21.309373,18,5,5,138,25,1000,11143.31,10729.85,11278.9,10729.85,0.0395
20110812,16.742539,0,2.621438,115.235416,21.404846,20,0,3,133,26,1000,11269.02,11143.46,11346.67,11142.18,0.0113
20110815,27.285127,4.219017,4.360988,119.309892,23.705177,33,5,5,139,28,1000,11482.9,11269.85,11484.6,11269.85,0.019
20110816,35.647926,2.555787,5.863146,121.101126,24.628067,42,3,7,141,29,1000,11405.93,11480.48,11488.01,11292.63,-0.67
20110817,28.88626,3.699744,4.659135,108.811477,18.301979,35,4,5,126,21,1000,11410.21,11392.01,11529.67,11322.3,0.0004
20110818,19.596705,7.000423,8.030588,108.282239,23.817924,23,8,9,126,28,1000,10990.58,11406.27,11406.5,10881.6,-3.68
20110819,23.984926,4.371777,2.619748,109.008729,17.944519,28,5,3,126,21,1000,10817.65,10989.75,11086.4,10801.41,-1.57
20110822,18.41769,2.39528,0.931034,101.139219,14.847213,21,3,1,117,18,1000,10854.65,10820.37,11020.55,10820.37,0.0034
20110823,30.667691,5.366554,13.391494,100.996281,24.783084,36,6,15,119,29,1000,11176.76,10854.58,11176.84,10854.43,0.0297
20110824,19.998188,3.425373,7.179225,105.788774,25.258215,24,4,8,122,30,1000,11320.71,11175.78,11331.57,11113.04,0.0129
20110825,25.428238,5.320086,7.087571,111.006657,19.083783,30,6,8,128,22,1000,11149.82,11321.02,11406.39,11106.76,-1.51
20110826,23.059177,1.696285,4.379083,103.816391,25.512231,28,2,5,120,30,1000,11284.54,11145.2,11326.43,10929.2,0.0121
20110829,30.298141,0,3.444106,107.27067,23.754406,36,0,4,124,28,1000,11539.25,11286.65,11541.78,11286.58,0.0226
20110830,28.474575,5.416809,6.417291,115.288118,14.328279,33,6,7,133,17,1000,11559.95,11532.13,11630.07,11429.39,0.0018
20110831,28.783315,2.902301,5.30242,119.427611,20.891587,34,3,6,140,25,1000,11613.53,11560.48,11712.6,11528.08,0.0046
20110901,21.121618,7.968609,3.526867,114.579746,16.84127,25,9,4,133,20,1000,11493.57,11613.3,11716.84,11488.46,-1.03
20110902,21.882614,2.62608,5.928235,91.406712,32.944576,26,3,7,107,39,1000,11240.26,11492.06,11492.14,11211.35,-2.2
20110906,19.367374,3.405778,7.892339,112.384696,20.344695,23,4,9,130,24,1000,11139.3,11237.31,11237.46,10932.53,-0.9
20110907,23.520436,7.934844,5.463287,111.420056,20.751532,28,9,6,131,24,1000,11414.86,11137.63,11414.86,11137.63,0.0247
20110908,25.165687,6.73651,3.487954,112.029831,19.575942,30,8,4,130,23,1000,11295.81,11414.86,11477.3,11283.74,-1.04
20110909,21.24012,8.727899,7.051821,119.464401,15.500065,25,10,8,140,18,1000,10992.13,11294.6,11294.83,10935.64,-2.69
20110912,25.381511,8.7087,8.823391,117.888026,22.270184,30,10,10,137,27,1000,11061.12,10990.01,11062.03,10824.76,0.0063
20110913,27.868618,2.356154,3.447598,114.760403,18.020087,33,3,4,133,21,1000,11105.85,11054.99,11140.85,10987.18,0.004
20110914,26.51335,2.73116,3.238899,105.537035,20.312061,32,3,4,123,24,1000,11246.73,11106.83,11386.78,10993.84,0.0127
20110915,23.791227,6.384369,5.324817,105.120985,23.550579,28,7,6,123,28,1000,11433.18,11247.72,11433.4,11247.49,0.0166
20110916,22.365323,0.931034,7.225478,124.504901,21.529256,27,1,8,145,26,1000,11509.09,11433.71,11532.47,11407.41,0.0066
20110919,27.343962,2.4758,2.713527,121.821331,22.898883,33,3,3,141,27,1000,11401.01,11506.67,11506.82,11255.25,-0.94
20110920,26.549966,4.302229,7.553722,117.238643,26.131201,32,5,9,137,30,1000,11408.66,11401.47,11550.22,11373.92,0.0007
20110921,30.126286,2.596982,4.117749,89.42785,19.130006,36,3,5,104,23,1000,11124.84,11408.58,11447.86,11117.28,-2.49
20110922,21.443759,4.367211,8.578875,110.496506,23.20007,26,5,10,128,27,1000,10733.83,11121.89,11122.12,10597.14,-3.51
20110923,28.882607,5.93165,1.784898,138.780021,14.636931,35,7,2,160,17,1000,10771.48,10732.77,10808.49,10638.73,0.0035
20110926,21.074051,5.860705,4.6193,103.745189,27.312526,25,7,5,120,33,1000,11043.86,10771.78,11057.49,10771.78,0.0253
20110927,27.011965,4.274481,3.570404,114.041649,21.839476,32,5,4,132,26,1000,11190.69,11045.23,11369.3,11045.23,0.0133
20110928,24.464343,5.460914,4.284068,113.490473,22.315798,29,6,5,131,26,1000,11010.9,11189.1,11317.08,10996.98,-1.61
20110929,25.148365,5.614429,7.252353,109.782745,22.976697,30,7,8,128,27,1000,11153.98,11012.79,11271.14,10965.45,0.013
20110930,38.196979,4.216814,5.588949,112.210564,17.607147,45,5,6,130,21,1000,10913.38,11152.32,11152.39,10909.52,-2.16
20111003,36.490158,3.388428,7.410368,114.009809,18.954087,43,4,9,133,22,1000,10655.3,10912.1,10979.19,10653.34,-2.36
20111004,18.301216,2.444805,4.447987,138.129765,23.541638,22,3,5,159,28,1000,10808.71,10651.44,10825.44,10404.49,0.0144
20111005,25.899588,3.560306,4.037924,106.373241,25.583321,31,4,5,125,30,1000,10939.95,10800.47,10950.89,10738.1,0.0121
20111006,35.928818,1.70658,9.384854,115.793349,29.608273,43,2,11,137,35,1000,11123.33,10939.87,11132.6,10858.67,0.0168
20111007,23.257197,3.606385,6.153982,122.641434,18.788705,27,4,7,142,22,1000,11103.12,11123.41,11232.05,11051.13,-0.18
20111010,21.145878,3.335583,5.184724,120.108969,24.355048,25,4,6,139,29,1000,11433.18,11104.56,11433.33,11104.56,0.0297
20111011,28.024083,7.981568,8.783644,119.283927,27.876211,33,9,10,138,33,1000,11416.3,11432.8,11447.86,11365.67,-0.15
20111012,23.447508,3.479764,5.24873,113.376946,25.223626,28,4,6,132,30,1000,11518.85,11417.36,11625.3,11417.28,0.009
20111013,21.563078,1,7.013547,113.343138,20.311642,26,1,8,131,24,1000,11478.13,11518.09,11518.09,11377.82,-0.35
20111014,18.805938,6.749678,5.295726,117.879508,16.463498,22,8,6,136,19,1000,11644.49,11478.97,11646.83,11478.66,0.0145
20111017,31.900083,4.396885,4.387433,106.711019,26.451017,38,5,5,124,32,1000,11397,11643.35,11643.35,11378.35,-2.13
20111018,27.13213,1.814495,1.852034,115.257584,25.440377,32,2,2,133,30,1000,11577.05,11396.17,11652.74,11296.12,0.0158
20111019,26.172109,6.598368,6.357183,114.246232,18.09575,31,8,7,133,21,1000,11504.62,11577.54,11633.7,11469.17,-0.63
20111020,20.016753,5.398798,2.528264,120.724913,26.295639,24,6,3,140,31,1000,11541.78,11502.13,11581.25,11391.14,0.0032
20111021,20.843619,2.862068,1.862068,123.833278,19.383732,24,3,2,144,23,1000,11808.79,11543.22,11812.46,11542.84,0.0231
20111024,29.485574,5.177381,2.593888,113.386917,25.479919,35,6,3,133,30,1000,11913.62,11807.96,11940.75,11805.77,0.0089
20111025,32.494943,7.00762,4.442423,117.220652,19.086716,39,8,5,136,22,1000,11706.62,11912.63,11912.86,11682.52,-1.74
20111026,17.712496,6.216244,6.226264,113.36375,25.598161,21,7,7,133,30,1000,11869.04,11707.76,11891.21,11694.36,0.0139
20111027,21.726502,5.972066,4.347109,129.34714,20.600604,26,7,5,151,24,1000,12208.55,11872.07,12284.31,11872.07,0.0286
20111028,14.521267,1.78725,8.114097,129.924162,24.649162,17,2,9,150,29,1000,12231.11,12207.34,12251.92,12164.24,0.0018
20111031,20.081231,1.861677,6.351338,129.360919,30.588717,24,2,7,148,36,1000,11955.01,12229.22,12229.29,11954.41,-2.26
20111101,19.925098,1.697505,0.814822,123.724433,25.524139,24,2,1,144,30,1000,11657.96,11951.53,11951.76,11630.03,-2.48
20111102,15.312005,2.573048,4.417736,114.615149,23.032025,19,3,5,133,27,1000,11836.04,11658.49,11876.83,11658.49,0.0153
20111103,29.234251,8.123099,6.049975,110.71725,20.315163,35,9,7,128,24,1000,12044.47,11835.59,12065.93,11835.43,0.0176
20111104,24.88564,4.214861,3.496334,115.891953,20.433482,30,5,4,134,24,1000,11983.24,12043.41,12043.49,11850.31,-0.51
20111107,24.789273,3.501546,4.498726,113.709568,24.469175,29,4,5,133,29,1000,12068.39,11983.02,12074.44,11880.69,0.0071
20111108,30.346657,5.486463,9.04351,130.179612,15.924148,36,6,10,151,19,1000,12170.18,12055.52,12187.51,12002.17,0.0084
20111109,24.309486,5.111174,6.167648,113.264035,22.544646,29,6,7,131,26,1000,11780.94,12166.4,12166.4,11736.93,-3.2
20111110,23.211268,2.489258,3.374605,115.205542,17.189437,28,3,4,134,20,1000,11893.79,11780.03,11961.14,11779.88,0.0096
20111111,17.390725,5.978141,5.205478,123.587134,16.320077,21,7,6,144,20,1000,12153.68,11896.28,12179.72,11896.28,0.0219
20111114,30.626451,5.121358,6.33145,131.806419,19.620488,37,6,7,153,23,1000,12078.98,12153,12170.56,12027.03,-0.61
20111115,21.456815,4.344051,5.383606,95.286306,23.844335,25,5,6,110,28,1000,12096.16,12077.92,12165.11,12001.26,0.0014
20111116,30.381299,4.503845,6.296572,132.234689,22.847823,36,5,7,153,27,1000,11905.59,12084.74,12109.03,11890.57,-1.58
20111117,31.547865,2.561404,6.817825,118.363735,16.004118,37,3,8,138,19,1000,11770.73,11905.67,11948.43,11676.35,-1.13
20111118,18.923254,1.778672,2.613961,121.493796,20.505653,23,2,3,142,24,1000,11796.16,11768.98,11854.81,11755.82,0.0022
20111121,29.112732,4.203355,4.482947,111.099364,22.538701,34,5,5,129,26,1000,11547.31,11795.55,11795.7,11454.07,-2.11
20111122,22.995065,2.460744,3.5603,107.13317,26.605139,27,3,4,124,32,1000,11493.72,11542.39,11571.75,11433.97,-0.46
20111123,24.69257,4.532551,6.351107,115.054232,22.496123,29,5,7,133,26,1000,11257.55,11492.74,11492.82,11257.55,-2.05
20111125,22.854181,6.398441,6.909068,114.542612,28.940148,27,7,8,134,34,1000,11231.78,11251.88,11361.47,11231.56,-0.23
20111128,28.999358,7.416022,6.3799,113.238895,22.297065,34,8,7,131,26,1000,11523.01,11232.47,11562.1,11232.16,0.0259
20111129,21.04439,3.505706,5.214201,113.365292,23.522376,25,4,6,131,28,1000,11555.63,11523.01,11624.01,11517.04,0.0028
20111130,23.113537,5.11621,7.73467,126.133797,19.339668,27,6,9,148,23,1000,12045.68,11559.27,12045.68,11559.27,0.0424
20111201,27.325416,4.831878,4.943516,103.137474,21.22298,33,6,6,119,25,1000,12020.03,12046.21,12062.64,11974.62,-0.21
20111202,22.917142,5.237834,0.832718,128.014299,26.232052,27,6,1,147,31,1000,12019.42,12022.37,12146.68,12007.12,-0.01
20111205,31.880384,6.001692,2.660233,113.141082,32.47737,38,7,3,131,38,1000,12097.83,12021.54,12186.53,12021.46,0.0065
20111206,22.997865,5.235339,4.369498,117.882145,20.56811,27,6,5,137,24,1000,12150.13,12097.75,12215.71,12076.71,0.0043
20111207,26.111346,6.34179,10.370777,122.228639,27.74666,31,7,12,141,33,1000,12196.37,12144.41,12257.67,12060.37,0.0038
20111208,29.312561,4.407778,7.999594,122.663387,28.317225,35,5,9,141,33,1000,11997.7,12195.91,12195.91,11966.22,-1.63
20111209,21.32119,1.800522,5.961357,133.970752,15.236472,25,2,7,154,18,1000,12184.26,11996.03,12212.83,11995.51,0.0155
20111212,18.243144,6.243663,1.592633,116.398681,13.476406,22,7,2,135,16,1000,12021.39,12181.08,12181.38,11940.86,-1.34
20111213,19.900527,2.51943,9.686052,122.441547,33.33266,24,3,11,141,40,1000,11954.94,12018.66,12147.7,11904.38,-0.55
20111214,21.677778,4.89236,4.47972,119.198232,32.942056,26,6,5,137,39,1000,11823.48,11949.72,11950.02,11786.47,-1.1
20111215,29.276758,3.410223,4.879117,121.578029,24.813168,35,4,6,143,30,1000,11868.81,11825.29,11967.84,11825.22,0.0038
20111216,14.086966,10.089337,3.585434,121.307647,22.53198,17,12,4,142,27,1000,11866.39,11870.25,11968.18,11819.31,-0.02
20111219,16.95863,1.718609,4.309944,121.101899,23.08158,20,2,5,140,28,1000,11766.26,11866.54,11925.88,11735.19,-0.84
20111220,24.016644,8.10601,10.14064,120.505836,27.16264,28,9,11,141,32,1000,12103.58,11769.21,12117.13,11768.83,0.0287
20111221,20.630416,4.281446,5.18718,130.935042,29.18186,25,5,6,152,34,1000,12107.74,12103.28,12119.7,11999.44,0.0003
20111222,23.821413,5.335848,7.300825,132.708173,27.113831,29,6,8,153,32,1000,12169.65,12107.59,12182.71,12107.37,0.0051
20111223,24.268079,2.581749,6.313329,146.833035,24.282998,29,3,7,172,29,1000,12294,12169.8,12297.44,12169.8,0.0102
20111227,20.12917,0.931034,6.046302,117.858386,29.806968,24,1,7,136,35,1000,12291.35,12293.47,12328.47,12269.97,-0.02
20111228,16.760762,5.214915,4.223748,111.723893,18.503518,20,6,5,131,22,1000,12151.41,12288.85,12299.11,12140.17,-1.14
20111229,18.663083,4.300127,4.345301,124.660484,19.565376,22,5,5,143,23,1000,12287.04,12152.09,12293.96,12152.09,0.0112
20111230,24.653268,3.533048,4.213564,140.339218,14.818638,29,4,5,161,18,1000,12217.56,12286.13,12290.06,12213.78,-0.57
20120103,22.805039,3.478832,3.659201,108.833628,25.264316,27,4,4,126,30,1000,12397.38,12221.19,12479.65,12221.19,0.0147
